county,meeting_date,agenda_url,agenda_type,item_number,raw_text,applicant,reinvestment_zone,flags,capacity_or_usd,project_type,source_system
Pecos,2026-01-26,https://www.co.pecos.tx.us/commissioners-court-regular-session-agenda-1262026/,agenda,8,8. Public Hearing reference renewal of Pecos County Guideline and Criteria for Tax Abatement under the Provisions of the Texas Tax Code § 312.002 et seq and §380 et seg.,,,abatement,,abatement_other,pecos_wp
Pecos,2026-01-12,https://www.co.pecos.tx.us/commissioners-court-regular-session-agenda-1122026/,agenda,4,"4. Court to consider and/or act upon to Accept, Approve, and Execute a Tax Abatement Agreement with CoreWeave, LLC,  located within the Longfellow Renewable Energy Reinvestment Zone Established on January 13, 2025, by resolution of the Pecos County Commissioners Court, under the Provisions of Texas Tax Code 312 et seq., and accept a $1,000.00 Payment to Pecos County to cover Local Administrative Cost associated with processing the Application.","CoreWeave, LLC",located within the Longfellow Renewable Energy Reinvestment Zone,abatement|renewable|load:CoreWeave,"$1,000.00",renewable,pecos_wp
Pecos,2025-12-08,https://www.co.pecos.tx.us/regular_session_agenda-20251208/,agenda,6,6. Public Hearing reference to Designate and Establish the Silver Basin Digital Reinvestment Zone under the Provisions of Texas Tax Code 312 et seq.,,Public Hearing reference to Designate and Establish the Silver Basin Digital Reinvestment Zone,abatement,,abatement_other,pecos_wp
Pecos,2025-12-08,https://www.co.pecos.tx.us/regular_session_agenda-20251208/,agenda,7,7. Court to consider and/or act upon approving the Resolution Designating and Establishing the Silver Basin Digital Reinvestment Zone under the Provisions of Texas Tax Code 312 et seq.,,or act upon approving the Resolution Designating and Establishing the Silver Basin Digital Reinvestment Zone,abatement,,abatement_other,pecos_wp
Pecos,2025-12-08,https://www.co.pecos.tx.us/regular_session_agenda-20251208/,agenda,8,"8. Court to consider and/or act upon Accepting, Approving, and Executing a Tax Abatement Agreement with Silver Basin Digital, LLC, under the Provisions of Texas Tax Code 312 et seq., and accept $1,000.00 Payment to Pecos County to cover Local Administrative Cost associated with processing the Application.","Silver Basin Digital, LLC",,abatement,"$1,000.00",abatement_other,pecos_wp
Pecos,2025-12-08,https://www.co.pecos.tx.us/regular_session_agenda-20251208/,agenda,9,"9. Court to consider and/or act upon Accepting, Approving, and Executing a Tax Abatement Agreement with Greasewood II BESS, LLC, located within the Greasewood Reinvestment Zone Established on April 25, 2022, by resolution of the Pecos County Commissioners Court, under the Provisions of Texas Tax Code 312 et seq., and accept $1,000.00 Payment to Pecos County to cover Local Administrative Cost associated with processing the Application.","Greasewood II BESS, LLC",located within the Greasewood Reinvestment Zone,abatement|renewable,"$1,000.00",renewable,pecos_wp
Pecos,2025-11-10,https://www.co.pecos.tx.us/regular_session_agenda-20251110/,agenda,26,"26. Court to consider and/or act upon to Accept, Approve, and Execute a Tax Abatement Agreement with Poolside Inc., located within the Longfellow Renewable Energy Reinvestment Zone Established on January 13, 2025, by resolution of the Pecos County Commissioners Court, under the Provisions of Texas Tax Code 312 et seq., and accept a $1,000.00 Payment to Pecos County to cover Local Administrative Cost associated with processing the Application.",Poolside Inc,located within the Longfellow Renewable Energy Reinvestment Zone,abatement|renewable|load:Poolside,"$1,000.00",renewable,pecos_wp
Pecos,2025-10-27,https://www.co.pecos.tx.us/regular_session_agenda-20251027/,agenda,5,"5. Court to consider and/or act upon Accept, Approve, and Execute a Tax Abatement Agreement with Bighorn Ridge Solar, LLC, located within the Selenite Springs Reinvestment Zone Established on August 11, 2025, by resolution of the Pecos County Commissioners Court, under the Provisions of Texas Tax Code 312 et seq., and accept $1,000.00 Payment, to Pecos County to cover Local Administrative Cost associated with processing the Application.","Bighorn Ridge Solar, LLC",located within the Selenite Springs Reinvestment Zone,abatement|renewable,"$1,000.00",renewable,pecos_wp
Pecos,,https://www.co.pecos.tx.us/20220725-30-day-notice/,agenda,,"Thirty Day Notice of Reinvestment Zone and Tax Abatement Consideration Pecos County Commissioners Court
Thirty (30) Day Notice of Reinvestment Zone and Tax Abatement Consideration
Pecos County Commissioners Court
DATE: July 25th, 2022 TIME: 10:00 AM
PLACE: County Courtroom of Pecos County Courthouse, 103 W. Callaghan, Fort Stockton, TX 79735
PURPOSE: On behalf of Pecos County, the Pecos County Commissioners Court will discuss and take possible action regarding an order concerning a proposed form of property tax abatement between the County and Matterhorn Express Pipeline, LLC pursuant to Chapter 312 of the Texas Tax Code.
Property Owner and Applicant for Tax Abatement: Matterhorn Express Pipeline LLC c/o White Water Midstream LLC
Current Reinvestment Zone: Whistler Waha Reinvestment Zone
Anticipated Improvements: Matterhorn Express Pipeline LLC will install (2) Solar Titan 250 turbines, each driving a Solar C75 centerfugal compressor, including supporting equipment.
Estimated Cost of the Improvements: The best estimate of capital investment of all such improvements subject to the requested tax abatement is $50 Million.
View complete Notice of Reinvestment Zone and Tax Abatement Consideration (PDF)",Matterhorn Express Pipeline LLC,Thirty Day Notice of Reinvestment Zone,abatement|renewable,$50 Million,renewable,pecos_wp
